environment,condition,donor,time,pct,n,pop
Inflammatory,Control,NA,0,21.4,544,epcam_total
Inflammatory,Control,NA,24,37.9,1386,epcam_total
Inflammatory,Control,NA,48,14.5,579,epcam_total
Inflammatory,Control,NA,96,10.6,405,epcam_total
Basal,Control,NA,0,16,656,epcam_total
Basal,Control,NA,24,21.9,746,epcam_total
Basal,Control,NA,48,7.55,257,epcam_total
Basal,Control,NA,96,7.9,299,epcam_total
Inflammatory,Activated,D1,24,17.1,680,epcam_total
Inflammatory,Activated,D1,48,19.1,782,epcam_total
Inflammatory,Activated,D1,96,22,764,epcam_total
Inflammatory,Activated,D2,24,19.4,844,epcam_total
Inflammatory,Activated,D2,48,19.9,839,epcam_total
Inflammatory,Activated,D2,96,13.3,453,epcam_total
Inflammatory,Resting,D1,24,24.7,1042,epcam_total
Inflammatory,Resting,D1,48,15.7,656,epcam_total
Inflammatory,Resting,D1,96,17.9,726,epcam_total
Inflammatory,Resting,D2,24,16.4,705,epcam_total
Inflammatory,Resting,D2,48,14.7,633,epcam_total
Inflammatory,Resting,D2,96,13.7,566,epcam_total
Basal,Activated,D1,48,23.3,410,epcam_total
Basal,Activated,D1,96,15.9,652,epcam_total
Basal,Activated,D2,24,13.3,333,epcam_total
Basal,Activated,D2,48,11.9,516,epcam_total
Basal,Activated,D2,96,12.3,323,epcam_total
Basal,Resting,D1,24,16,615,epcam_total
Basal,Resting,D1,48,7.45,317,epcam_total
Basal,Resting,D1,96,13.5,524,epcam_total
Basal,Resting,D2,24,11,464,epcam_total
Basal,Resting,D2,48,15,630,epcam_total
Basal,Resting,D2,96,17.3,712,epcam_total
Inflammatory,Control,NA,0,83.8,456,epcam_live
Inflammatory,Control,NA,24,1.73,24,epcam_live
Inflammatory,Control,NA,48,2.76,16,epcam_live
Inflammatory,Control,NA,96,5.93,24,epcam_live
Basal,Control,NA,0,76.5,502,epcam_live
Basal,Control,NA,24,1.88,14,epcam_live
Basal,Control,NA,48,3.89,10,epcam_live
Basal,Control,NA,96,2.68,8,epcam_live
Inflammatory,Activated,D1,24,1.76,12,epcam_live
Inflammatory,Activated,D1,48,2.3,18,epcam_live
Inflammatory,Activated,D1,96,0.79,6,epcam_live
Inflammatory,Activated,D2,24,1.18,10,epcam_live
Inflammatory,Activated,D2,48,2.74,23,epcam_live
Inflammatory,Activated,D2,96,0.44,2,epcam_live
Inflammatory,Resting,D1,24,3.93,41,epcam_live
Inflammatory,Resting,D1,48,1.83,12,epcam_live
Inflammatory,Resting,D1,96,0.96,7,epcam_live
Inflammatory,Resting,D2,24,1.42,32,epcam_live
Inflammatory,Resting,D2,48,0.95,6,epcam_live
Inflammatory,Resting,D2,96,0.88,5,epcam_live
Basal,Activated,D1,48,0,0,epcam_live
Basal,Activated,D1,96,0.77,5,epcam_live
Basal,Activated,D2,24,2.7,9,epcam_live
Basal,Activated,D2,48,0.39,2,epcam_live
Basal,Activated,D2,96,0.93,3,epcam_live
Basal,Resting,D1,24,2.6,16,epcam_live
Basal,Resting,D1,48,5.68,18,epcam_live
Basal,Resting,D1,96,1.53,8,epcam_live
Basal,Resting,D2,24,1.94,9,epcam_live
Basal,Resting,D2,48,3.17,20,epcam_live
Basal,Resting,D2,96,0.98,7,epcam_live
Inflammatory,Control,NA,0,12.7,69,epcam_dead
Inflammatory,Control,NA,24,98.3,1362,epcam_dead
Inflammatory,Control,NA,48,96.9,561,epcam_dead
Inflammatory,Control,NA,96,93.1,377,epcam_dead
Basal,Control,NA,0,22.4,147,epcam_dead
Basal,Control,NA,24,97.9,730,epcam_dead
Basal,Control,NA,48,96.1,247,epcam_dead
Basal,Control,NA,96,97.3,291,epcam_dead
Inflammatory,Activated,D1,24,98.2,668,epcam_dead
Inflammatory,Activated,D1,48,97.7,764,epcam_dead
Inflammatory,Activated,D1,96,99.2,758,epcam_dead
Inflammatory,Activated,D2,24,98.8,834,epcam_dead
Inflammatory,Activated,D2,48,97.1,815,epcam_dead
Inflammatory,Activated,D2,96,99.6,451,epcam_dead
Inflammatory,Resting,D1,24,95.5,995,epcam_dead
Inflammatory,Resting,D1,48,97.9,642,epcam_dead
Inflammatory,Resting,D1,96,98.9,718,epcam_dead
Inflammatory,Resting,D2,24,98,691,epcam_dead
Inflammatory,Resting,D2,48,98.9,626,epcam_dead
Inflammatory,Resting,D2,96,99.1,561,epcam_dead
Basal,Activated,D1,48,100,480,epcam_dead
Basal,Activated,D1,96,99.2,647,epcam_dead
Basal,Activated,D2,24,97,323,epcam_dead
Basal,Activated,D2,48,99.6,514,epcam_dead
Basal,Activated,D2,96,99.1,320,epcam_dead
Basal,Resting,D1,24,97.2,598,epcam_dead
Basal,Resting,D1,48,94,298,epcam_dead
Basal,Resting,D1,96,98.5,516,epcam_dead
Basal,Resting,D2,24,98.1,455,epcam_dead
Basal,Resting,D2,48,96.3,607,epcam_dead
Basal,Resting,D2,96,98.9,704,epcam_dead
Inflammatory,Control,NA,0,50.6,275,pdl1_pos
Inflammatory,Control,NA,24,10.3,143,pdl1_pos
Inflammatory,Control,NA,48,23.1,134,pdl1_pos
Inflammatory,Control,NA,96,10.1,41,pdl1_pos
Basal,Control,NA,0,7.77,51,pdl1_pos
Basal,Control,NA,24,22.3,166,pdl1_pos
Basal,Control,NA,48,12.5,32,pdl1_pos
Basal,Control,NA,96,0.33,1,pdl1_pos
Inflammatory,Activated,D1,24,10.7,73,pdl1_pos
Inflammatory,Activated,D1,48,8.82,69,pdl1_pos
Inflammatory,Activated,D1,96,8.9,68,pdl1_pos
Inflammatory,Activated,D2,24,7.46,63,pdl1_pos
Inflammatory,Activated,D2,48,6.2,52,pdl1_pos
Inflammatory,Activated,D2,96,9.71,44,pdl1_pos
Inflammatory,Resting,D1,24,12.8,133,pdl1_pos
Inflammatory,Resting,D1,48,7.62,50,pdl1_pos
Inflammatory,Resting,D1,96,4.41,32,pdl1_pos
Inflammatory,Resting,D2,24,8.94,93,pdl1_pos
Inflammatory,Resting,D2,48,7.58,48,pdl1_pos
Inflammatory,Resting,D2,96,5.65,32,pdl1_pos
Basal,Activated,D1,48,20,72,pdl1_pos
Basal,Activated,D1,96,17.2,112,pdl1_pos
Basal,Activated,D2,24,9.31,31,pdl1_pos
Basal,Activated,D2,48,16.9,86,pdl1_pos
Basal,Activated,D2,96,13.3,93,pdl1_pos
Basal,Resting,D1,24,4.88,30,pdl1_pos
Basal,Resting,D1,48,10.4,33,pdl1_pos
Basal,Resting,D1,96,3.82,20,pdl1_pos
Basal,Resting,D2,24,5.82,27,pdl1_pos
Basal,Resting,D2,48,4.6,29,pdl1_pos
Basal,Resting,D2,96,3.79,27,pdl1_pos
Inflammatory,Control,NA,0,0,0,pd1_pos
Inflammatory,Control,NA,24,0,0,pd1_pos
Inflammatory,Control,NA,48,0,0,pd1_pos
Inflammatory,Control,NA,96,0,0,pd1_pos
Basal,Control,NA,0,0,0,pd1_pos
Basal,Control,NA,24,0,0,pd1_pos
Basal,Control,NA,48,0,0,pd1_pos
Basal,Control,NA,96,0,0,pd1_pos
Inflammatory,Activated,D1,24,38.2,71,pd1_pos
Inflammatory,Activated,D1,48,60.3,176,pd1_pos
Inflammatory,Activated,D1,96,78.5,227,pd1_pos
Inflammatory,Activated,D2,24,64.3,155,pd1_pos
Inflammatory,Activated,D2,48,62.9,95,pd1_pos
Inflammatory,Activated,D2,96,67.5,204,pd1_pos
Inflammatory,Resting,D1,24,74.3,378,pd1_pos
Inflammatory,Resting,D1,48,66.2,259,pd1_pos
Inflammatory,Resting,D1,96,72.7,258,pd1_pos
Inflammatory,Resting,D2,24,54.5,350,pd1_pos
Inflammatory,Resting,D2,48,49,243,pd1_pos
Inflammatory,Resting,D2,96,50.7,183,pd1_pos
Basal,Activated,D1,48,0,0,pd1_pos
Basal,Activated,D1,96,32.7,154,pd1_pos
Basal,Activated,D2,24,23.5,55,pd1_pos
Basal,Activated,D2,48,24.7,64,pd1_pos
Basal,Activated,D2,96,49.8,213,pd1_pos
Basal,Resting,D1,24,49.7,89,pd1_pos
Basal,Resting,D1,48,69.5,139,pd1_pos
Basal,Resting,D1,96,66.7,128,pd1_pos
Basal,Resting,D2,24,57,126,pd1_pos
Basal,Resting,D2,48,64.4,67,pd1_pos
Basal,Resting,D2,96,70.3,175,pd1_pos
Inflammatory,Control,NA,0,98.6,1913,noepcam_live
Inflammatory,Control,NA,24,25.7,562,noepcam_live
Inflammatory,Control,NA,48,39.3,1333,noepcam_live
Inflammatory,Control,NA,96,27.3,930,noepcam_live
Basal,Control,NA,0,97.5,2996,noepcam_live
Basal,Control,NA,24,17.5,448,noepcam_live
Basal,Control,NA,48,51.2,1573,noepcam_live
Basal,Control,NA,96,12,414,noepcam_live
Inflammatory,Activated,D1,24,42.8,1373,noepcam_live
Inflammatory,Activated,D1,48,20,640,noepcam_live
Inflammatory,Activated,D1,96,21.6,572,noepcam_live
Inflammatory,Activated,D2,24,31.9,1085,noepcam_live
Inflammatory,Activated,D2,48,19.4,636,noepcam_live
Inflammatory,Activated,D2,96,45.5,1317,noepcam_live
Inflammatory,Resting,D1,24,42.8,1313,noepcam_live
Inflammatory,Resting,D1,48,22,757,noepcam_live
Inflammatory,Resting,D1,96,32.8,1038,noepcam_live
Inflammatory,Resting,D2,24,27.7,967,noepcam_live
Inflammatory,Resting,D2,48,22.5,806,noepcam_live
Inflammatory,Resting,D2,96,44.9,1577,noepcam_live
Basal,Activated,D1,48,0,0,noepcam_live
Basal,Activated,D1,96,36.9,1242,noepcam_live
Basal,Activated,D2,24,21.7,462,noepcam_live
Basal,Activated,D2,48,18,679,noepcam_live
Basal,Activated,D2,96,21.2,488,noepcam_live
Basal,Resting,D1,24,35.3,1116,noepcam_live
Basal,Resting,D1,48,43.5,1684,noepcam_live
Basal,Resting,D1,96,62.6,2068,noepcam_live
Basal,Resting,D2,24,29.9,1103,noepcam_live
Basal,Resting,D2,48,31.9,962,noepcam_live
Basal,Resting,D2,96,54.7,1957,noepcam_live
Inflammatory,Control,NA,0,1.19,23,noepcam_dead
Inflammatory,Control,NA,24,73,1597,noepcam_dead
Inflammatory,Control,NA,48,59.3,2008,noepcam_dead
Inflammatory,Control,NA,96,71.7,2441,noepcam_dead
Basal,Control,NA,0,2.34,72,noepcam_dead
Basal,Control,NA,24,81.7,2086,noepcam_dead
Basal,Control,NA,48,46.5,1430,noepcam_dead
Basal,Control,NA,96,87.8,3035,noepcam_dead
Inflammatory,Activated,D1,24,56.2,1802,noepcam_dead
Inflammatory,Activated,D1,48,77.3,2478,noepcam_dead
Inflammatory,Activated,D1,96,76.2,2014,noepcam_dead
Inflammatory,Activated,D2,24,65.9,2245,noepcam_dead
Inflammatory,Activated,D2,48,79.2,2597,noepcam_dead
Inflammatory,Activated,D2,96,49.9,1445,noepcam_dead
Inflammatory,Resting,D1,24,53.1,1630,noepcam_dead
Inflammatory,Resting,D1,48,74.9,2577,noepcam_dead
Inflammatory,Resting,D1,96,65.7,2080,noepcam_dead
Inflammatory,Resting,D2,24,70.6,2465,noepcam_dead
Inflammatory,Resting,D2,48,76.1,2720,noepcam_dead
Inflammatory,Resting,D2,96,51.3,1803,noepcam_dead
Basal,Activated,D1,48,100,2587,noepcam_dead
Basal,Activated,D1,96,59.5,2003,noepcam_dead
Basal,Activated,D2,24,75.9,1617,noepcam_dead
Basal,Activated,D2,48,80.6,3035,noepcam_dead
Basal,Activated,D2,96,75.4,1739,noepcam_dead
Basal,Resting,D1,24,63,1995,noepcam_dead
Basal,Resting,D1,48,52.7,2040,noepcam_dead
Basal,Resting,D1,96,35.5,1172,noepcam_dead
Basal,Resting,D2,24,67.1,2473,noepcam_dead
Basal,Resting,D2,48,75.3,2623,noepcam_dead
Basal,Resting,D2,96,62.1,2071,noepcam_dead
